"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1845269226778656886","Sun Oct 13 01:04:01 +0000 2024","0","Mantap! Jakarta Fund dapat menjadi sumber dana untuk proyek-proyek yang menciptakan lapangan kerja baru bagi warga Jakarta #JakartaMenyala Pramono Anung Yakin Jakarta Fund Dapat Tambah Pemasukan Daerah https://t.co/oQCnBr6VHa","1845269226778656886","","","in","","0","0","0","https://x.com/SaguKeju8/status/1845269226778656886","1424746853346660357","SaguKeju8"
"1845268285547479132","Sun Oct 13 01:00:17 +0000 2024","1","Memilih pemimpin yang baik jujur dan tidak serakah itu sebuah keharusan. Semoga PramDoel sosok pemimpin yang bisa di percaya dan amanah. #JakartaMenyala #PrakarUntukJakarta --- Ahmed Al Kaf Portugal Mulyono Horeg Komika https://t.co/OFbbsl7Rco","1845268285547479132","https://pbs.twimg.com/ext_tw_video_thumb/1845268158061703168/pu/img/l7QXvD1x_mGpZBlR.jpg","","in","","0","1","1","https://x.com/_riverheaven/status/1845268285547479132","975389335775199232","_riverheaven"
"1845268059487178997","Sun Oct 13 00:59:23 +0000 2024","0","Sekarang bukan lagi Doel anak sekolahan ... Saatnya #jakartamenyala bersama Pramono Rano️ https://t.co/1F41B3qTWo","1845268059487178997","https://pbs.twimg.com/ext_tw_video_thumb/1845267974539837440/pu/img/IM1tX6VC8d9LXIhi.jpg","","in","","0","0","0","https://x.com/BebySoSweet/status/1845268059487178997","1708495620376571904","BebySoSweet"
"1845265669207753008","Sun Oct 13 00:53:20 +0000 2024","0","Acara yg mayoritas dihadiri generasi muda ini mrk menyampaikan berbagai pertanyaan dan juga harapanny kepada Mas Pram terkait kebutuhan n keresahan mrk. #JakartaMenyala #PrakarUntukJakarta Adel Nurul Timnas fabio asher https://t.co/Ju4Kuw7WNd","1845266538607280641","https://pbs.twimg.com/media/GZu0HhuaAAAqjFw.jpg","HanifahAndini96","in","Indonesia","0","0","0","https://x.com/HanifahAndini96/status/1845266538607280641","307856074","HanifahAndini96"
"1845265669207753008","Sun Oct 13 00:49:53 +0000 2024","1","Moment Cagub Pramono Anung saat bincang2 santai dgn masyarakat dlm acara Pram Rano Tour di Tebet Ecopark Tebet Jakarta Selatan Sabtu (12/10). #JakartaMenyala #PrakarUntukJakarta fabio asher Nurul Timnas Adel https://t.co/0pyu4JXRdY","1845265669207753008","https://pbs.twimg.com/media/GZuzU17aAAA71HR.jpg","","in","Indonesia","0","1","0","https://x.com/HanifahAndini96/status/1845265669207753008","307856074","HanifahAndini96"
"1845265319704854959","Sun Oct 13 00:48:30 +0000 2024","8","Menemui warga Cipinang Melayu Calon Gubernur Mas Pram punya cara dan strategi bereskan banjir di daerah ini. Idealnya pemimpin yang baik itu seperti ini bukan malah merasa benar sendiri.. Bersama Mas Pram Bang Doel Jakarta bersih aman nyaman dan bermartabat. #JakartaMenyala https://t.co/tjdo7VYBpt","1845265319704854959","https://pbs.twimg.com/ext_tw_video_thumb/1845265136178823169/pu/img/3rS8X38Gy0hu14yh.jpg","","in","🇮🇩 Pancasila","0","0","5","https://x.com/Urrangawak/status/1845265319704854959","506059176","Urrangawak"
"1845264748365103233","Sun Oct 13 00:46:14 +0000 2024","0","Mengambil inspirasi dari film Home Sweet Loan menunjukkan bahwa Pramono terbuka terhadap ide-ide baru dan kreatif dalam mencari solusi #JakartaMenyala Pramono Dapat Ide Ubah Kantor Kecamatan Jadi Hunian Usai Nonton Home Sweet Loan https://t.co/MAeV7VK02s","1845264748365103233","","","in","","0","0","0","https://x.com/SaguKeju8/status/1845264748365103233","1424746853346660357","SaguKeju8"
"1845259977335898586","Sun Oct 13 00:27:16 +0000 2024","4","Cagub Pramono Anung sambangi kantor Majelis Ulama Indonesia (MUI) Jakarta. Dalam agenda silaturahmi itu pula Pramono merasa bersyukur telah diberi kesempatan oleh MUI Jakarta untuk menyampaikan berbagai gagasannya untuk Jakarta yang lebih baik. #JakartaMenyala https://t.co/9sh2ONHhRQ","1845259977335898586","https://pbs.twimg.com/ext_tw_video_thumb/1845259916061310981/pu/img/_JRRe7vq99dIvGt0.jpg","","in","","0","1","3","https://x.com/B3doel___/status/1845259977335898586","1351138416088510467","B3doel___"
"1845258115836674371","Sun Oct 13 00:19:52 +0000 2024","3","Kenapa CCTV penting ?? Karena lewat CCTV Penanganan terhadap tindak kejahatan bisa cepat dilakukan. Mas Pramono - Bang Rano #JakartaMenyala #PrakarUntukJakarta _________ Nurul FIFA Bahrain Adel Kevin Diks Malming JENO FIRST PITCH https://t.co/t6LH9ME9yZ","1845258115836674371","https://pbs.twimg.com/ext_tw_video_thumb/1845258011423764480/pu/img/lqkKc1ClNvbwZ2gh.jpg","","in","Jakarta Selatan, DKI Jakarta","0","0","2","https://x.com/Eil_Thia/status/1845258115836674371","1155017139671031809","Eil_Thia"
"1845256874293330293","Sun Oct 13 00:14:56 +0000 2024","0","Ide pemasangan CCTV adalah langkah cerdas untuk mencegah catcalling! #JakartaMenyala Terima Aduan Wanita Korban Catcalling di Jakarta Mas Pram: Kita Kasih Pelaku Sanksi Sosial https://t.co/49OoP79rPp","1845256874293330293","","","in","","0","0","0","https://x.com/SaguKeju8/status/1845256874293330293","1424746853346660357","SaguKeju8"
"1845255083841421746","Sun Oct 13 00:07:49 +0000 2024","0","Ikutan yukkk. Senam massal minggu 13 oktober 2024 pukul 06.00 wib. Bersama Mas Pram Bang Doel. #JakartaMenyala Nurul Polisi Jawa Mampir Bahrain Ahmad Al Kaf Song Weilong https://t.co/LCO8VR1B9c","1845255083841421746","https://pbs.twimg.com/media/GZupuDJa4AAgPoG.jpg","","in","Indonesia","0","0","0","https://x.com/Ranisor_6/status/1845255083841421746","1438169862354866180","Ranisor_6"
"1845255029680374120","Sun Oct 13 00:07:36 +0000 2024","1","Nyemotnye kluar... Gas tipis-tipis #JakartaMenyala","1845255029680374120","","","in","Selakartika","0","0","0","https://x.com/denni_sauya/status/1845255029680374120","1249352392954368001","denni_sauya"
"1845254755481985232","Sun Oct 13 00:06:31 +0000 2024","3","Rekam jejak @ridwankamil yg ingin jd guburnur Jakarta #JakartaMenyala tanpa RK https://t.co/oIyHfycd7I","1845254755481985232","https://pbs.twimg.com/ext_tw_video_thumb/1845254714323238912/pu/img/S3yBjbmluHMZVYmp.jpg","","in","","0","0","3","https://x.com/aan_muba/status/1845254755481985232","1226725839099707392","aan_muba"
"1845253571866132737","Sun Oct 13 00:01:49 +0000 2024","0","Mas Pram-Bang Doel siap bereskan banjir di Cipinang Melayu Jakarta timur. #JakartaMenyala Nurul Polisi Jawa Mampir Bahrain Ahmad Al Kaf Song Weilong https://t.co/8RvmfUA8oY","1845253571866132737","https://pbs.twimg.com/ext_tw_video_thumb/1845253521815621632/pu/img/gQ3zg8Ca9s6BrCU4.jpg","","in","Indonesia","0","0","0","https://x.com/Ranisor_6/status/1845253571866132737","1438169862354866180","Ranisor_6"
